blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,IMX/ETH,Uniswap,IMX,278407.0,0.1101,259915.0,0.15109999999999998,597.29%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,419074.0,0.10550000000000001,342575.0,0.17190000000000003,597.29%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,USDC/USDT,Uniswap,USDC,417182.0,0.0999,276157.0,0.1814,383.70%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,390122.0,0.223,282960.0,0.37560000000000004,383.70%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215735.0,0.0009,61680.0,0.0040999999999999995,43.26%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,53630.0,0.026000000000000002,40399.0,0.0538,43.26%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,DPI/ETH,Uniswap,DPI,108976.0,0.2127,43184.0,0.5268999999999999,-181.87%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,274296.0,0.0009,50588.0,0.003,-181.87%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,WBTC/ETH,Uniswap,WBTC,171847.0,0.0004,33210.0,0.0024,-23.95%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,92457.0,0.027999999999999997,37131.0,0.0873,-23.95%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,USDC/ETH,Uniswap,USDC,40947.0,0.027200000000000002,34354.0,0.1175,75.18%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,161696.0,0.0060999999999999995,42789.0,0.0287,75.18%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,UNI/ETH,Uniswap,UNI,70611.0,0.0007000000000000001,18395.0,0.0034000000000000002,4.54%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,31308.0,0.0271,25349.0,0.0382,4.54%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,DAI/ETH,Uniswap,DAI,20505.0,0.0023,20499.0,0.006,53.60%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,121052.0,0.0007000000000000001,22089.0,0.0032,53.60%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,ETH/CRV,Uniswap,ETH,11727.0,0.1501,11763.0,0.18760000000000002,-1.73%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,27621.0,0.517,20916.0,0.9411,-1.73%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,MATIC/ETH,Uniswap,MATIC,28621.0,0.1005,15762.0,0.24350000000000002,28.97%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,90369.0,0.0003,15774.0,0.0025,28.97%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,LINK/ETH,Uniswap,LINK,49196.0,0.0187,5227.0,0.0318,17.13%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,123980.0,0.0021,20174.0,0.0062,17.13%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,AAVE/ETH,Uniswap,AAVE,18256.0,0.0016,6330.0,0.005699999999999999,10.32%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,AAVE/ETH,Uniswap,ETH,129071.0,0.0,7729.0,0.0009,10.32%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,CEL/ETH,Uniswap,CEL,13406.0,0.0641,3814.0,0.2898,-6.97%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,CEL/ETH,Uniswap,ETH,11529.0,0.024399999999999998,10197.0,0.0346,-6.97%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,YFI/ETH,Uniswap,YFI,17955.0,0.0003,2973.0,0.0024,972.08%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,YFI/ETH,Uniswap,ETH,7293.0,0.0054,4176.0,0.012,972.08%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,SNX/ETH,Uniswap,SNX,2826.0,0.0126,2196.0,0.0202,73.81%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,SNX/ETH,Uniswap,ETH,6131.0,0.0032,3234.0,0.0075,73.81%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,ETH/USDT,Uniswap,ETH,11293.0,0.0066,2857.0,0.0022,125.62%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
