blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,USDC/USDT,Uniswap,USDC,416155,0.07980000000000001,247173,0.17350000000000002,565.06%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,387896,0.0951,253119,0.2606,565.06%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,IMX/ETH,Uniswap,IMX,242505,0.045599999999999995,187790,0.07150000000000001,621.12%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,405478,0.11720000000000001,293507,0.2191,621.12%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,DPI/ETH,Uniswap,DPI,112368,0.2014,56914,0.2896,215.14%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,274798,0.001,67779,0.0029,215.14%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,LINK/ETH,Uniswap,LINK,62020,0.0187,45577,0.0318,225.78%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,124203,0.0021,53781,0.0062,225.78%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,205378,0.0009,58716,0.0040999999999999995,294.12%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,66995,0.042300000000000004,40419,0.09949999999999999,294.12%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,USDC/ETH,Uniswap,USDC,117865,0.027200000000000002,34159,0.1175,534.21%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,161977,0.0060999999999999995,42846,0.0287,534.21%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,WBTC/ETH,Uniswap,WBTC,181138,0.0003,35004,0.0021,474.91%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,92583,0.0308,37144,0.11800000000000001,474.91%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,DAI/ETH,Uniswap,DAI,57419,0.0024,28138,0.0060999999999999995,329.54%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,121273,0.0007000000000000001,31427,0.0032,329.54%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,UNI/ETH,Uniswap,UNI,97078,0.0007000000000000001,26074,0.0034000000000000002,10.82%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,33941,0.003,31867,0.0069,10.82%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,ETH/CRV,Uniswap,ETH,11719,0.1501,11748,0.18760000000000002,-145.41%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,28939,0.5159,20301,0.9406,-145.41%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,MATIC/ETH,Uniswap,MATIC,30828,0.1005,15964,0.24350000000000002,551.03%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,90535,0.0003,15803,0.0025,551.03%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,COMP/ETH,Uniswap,COMP,12399,0.0192,12410,0.0286,396.16%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,COMP/ETH,Uniswap,ETH,54300,0.0008,14004,0.0037,396.16%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,AAVE/ETH,Uniswap,AAVE,23238,0.0016,8057,0.005699999999999999,665.13%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,AAVE/ETH,Uniswap,ETH,129308,0.0,7743,0.0009,665.13%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,CEL/ETH,Uniswap,CEL,13391,0.0641,3796,0.2898,22.51%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
