blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,361346.0,0.4032,295207.0,0.5744,-74.48%,(5x)
ETH,IMX/ETH,Uniswap,ETH,586902.0,0.09390000000000001,388605.0,0.1548,-74.48%,(5x)
ETH,USDC/USDT,Uniswap,USDC,407711.0,0.12300000000000001,287870.0,0.1906,-602.99%,(20x)
ETH,USDC/USDT,Uniswap,USDT,392989.0,0.3849,296145.0,0.5593,-602.99%,(20x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215738.0,0.0009,61684.0,0.0040999999999999995,33.69%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,59480.0,0.056900000000000006,44833.0,0.0944,33.69%,(5x)
ETH,DPI/ETH,Uniswap,DPI,117400.0,0.0548,46613.0,0.17300000000000001,-13.31%,(10x)
ETH,DPI/ETH,Uniswap,ETH,303605.0,0.0003,56055.0,0.0023,-13.31%,(10x)
ETH,WBTC/ETH,Uniswap,WBTC,161158.0,0.0004,31145.0,0.0024,-19.32%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,102493.0,0.027999999999999997,41202.0,0.0873,-19.32%,(10x)
ETH,USDC/ETH,Uniswap,USDC,41109.0,0.23989999999999997,34557.0,0.35810000000000003,11.10%,(5x)
ETH,USDC/ETH,Uniswap,ETH,179182.0,0.0060999999999999995,47434.0,0.0287,11.10%,(5x)
ETH,DAI/ETH,Uniswap,DAI,20594.0,0.039900000000000005,20592.0,0.0499,39.94%,(5x)
ETH,DAI/ETH,Uniswap,ETH,134130.0,0.0003,24476.0,0.0023,39.94%,(5x)
ETH,ETH/CRV,Uniswap,ETH,13026.0,0.1501,13074.0,0.18760000000000002,-75.32%,(5x)
ETH,ETH/CRV,Uniswap,CRV,28022.0,0.8845000000000001,21417.0,1.4684,-75.32%,(5x)
ETH,LINK/ETH,Uniswap,LINK,30682.0,0.0006,4652.0,0.0066,19.99%,(5x)
ETH,LINK/ETH,Uniswap,ETH,137374.0,0.0003,22354.0,0.0023,19.99%,(5x)
ETH,CEL/ETH,Uniswap,CEL,13420.0,0.0641,3832.0,0.2898,21.45%,(5x)
ETH,CEL/ETH,Uniswap,ETH,12780.0,0.024399999999999998,11305.0,0.0346,21.45%,(5x)
ETH,YFI/ETH,Uniswap,YFI,16538.0,0.0003,2738.0,0.0024,19.42%,(5x)
ETH,YFI/ETH,Uniswap,ETH,8081.0,0.0037,4628.0,0.008199999999999999,19.42%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,27869.0,0.0353,3462.0,0.0803,98.51%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,56321.0,0.0003,3763.0,0.0025,98.51%,(5x)
ETH,UNI/ETH,Uniswap,UNI,17122.0,0.0006,2160.0,0.0031,-0.41%,(5x)
ETH,UNI/ETH,Uniswap,ETH,34304.0,0.0346,5243.0,0.0533,-0.41%,(5x)
ETH,SNX/ETH,Uniswap,SNX,2430.0,0.0126,1889.0,0.0202,60.71%,(5x)
ETH,SNX/ETH,Uniswap,ETH,6794.0,0.0032,3584.0,0.0075,60.71%,(5x)
ETH,ETH/USDT,Uniswap,ETH,12513.0,0.0006,3166.0,0.0032,77.05%,(5x)
ETH,ETH/USDT,Uniswap,USDT,2813.0,0.0527,2800.0,0.0663,77.05%,(5x)
ETH,COMP/ETH,Uniswap,COMP,3789.0,0.014499999999999999,1559.0,0.08800000000000001,6.32%,(5x)
ETH,COMP/ETH,Uniswap,ETH,59726.0,0.0,2026.0,0.0005,6.32%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,16765.0,0.0016,715.27,0.005699999999999999,12.14%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,142742.0,0.0,1120.0,0.0009,12.14%,(5x)
MATIC,MATIC/WETH,SushiSwap,MATIC,1398325.0,0.1015,1035924.0,0.16,30.81%,(10x)
MATIC,MATIC/WETH,SushiSwap,WETH,1676772.0,0.0735,1073206.0,0.11699999999999999,30.81%,(10x)
MATIC,USDC/DAI,SushiSwap,USDC,559008.0,0.2046,429110.0,0.2584,-259.29%,(20x)
MATIC,USDC/DAI,SushiSwap,DAI,540490.0,0.26789999999999997,429835.0,0.34090000000000004,-259.29%,(20x)
