blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,68805.0,0.014499999999999999,42266.0,0.0059,0xa00d47b4b304792eb07b09233467b690db847c91,753.21%,(5x)
ETH,IMX/ETH,Uniswap,ETH,145410.0,0.0407,116135.0,0.0582,0xa00d47b4b304792eb07b09233467b690db847c91,753.21%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210161.0,0.0075,49486.0,0.0034999999999999996,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-4.13%,(20x)
ETH,USDC/USDT,Uniswap,USDT,77118.0,0.22699999999999998,51274.0,0.3011,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-4.13%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64720.0,0.060599999999999994,35770.0,0.1459,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,28.14%,(5x)
ETH,USDC/ETH,Uniswap,ETH,55397.0,0.0021,25798.0,0.005600000000000001,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,28.14%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27323.0,0.005600000000000001,20448.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18.67%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,49257.0,0.0019,21290.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18.67%,(10x)
ETH,DPI/ETH,Uniswap,DPI,26555.0,0.004699999999999999,18150.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,29.23%,(10x)
ETH,DPI/ETH,Uniswap,ETH,133485.0,0.0004,26408.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,29.23%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15710.0,0.0375,11102.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,8.16%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,19565.0,0.0434,19586.0,0.0542,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,8.16%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0001,970.06,0.0015,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,34.17%,(5x)
ETH,LINK/ETH,Uniswap,ETH,67007.0,0.0002,9536.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,34.17%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9948.0,0.0048,3211.0,0.0087,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,44.41%,(5x)
ETH,DAI/ETH,Uniswap,ETH,74838.0,0.0,1550.0,0.0007000000000000001,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,44.41%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0003,1747.0,0.0024,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,85.19%,(5x)
ETH,YFI/ETH,Uniswap,ETH,2610.0,0.04,2617.0,0.05,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,85.19%,(5x)
ETH,CEL/ETH,Uniswap,CEL,3411.0,0.0006,803.38,0.0034000000000000002,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,4.52%,(5x)
