blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,USDC/USDT,Uniswap,USDC,416658,0.0944,288317,0.1881,390.52%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,388648,0.1673,294388,0.3191,390.52%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,IMX/ETH,Uniswap,IMX,264737,0.051399999999999994,229450,0.0711,665.33%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,428446,0.114,326004,0.1906,665.33%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,228562,0.0009,65346,0.0040999999999999995,185.88%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,54862,0.0379,41314,0.087,185.88%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,DPI/ETH,Uniswap,DPI,108925,0.2127,43120,0.5268999999999999,-185.08%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,280734,0.0009,51774,0.003,-185.08%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,WBTC/ETH,Uniswap,WBTC,175931,0.0004,33998,0.0024,-21.08%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,94605,0.027999999999999997,37974,0.0873,-21.08%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,USDC/ETH,Uniswap,USDC,40863,0.027200000000000002,34249,0.1175,89.94%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,165483,0.0060999999999999995,43782,0.0287,89.94%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,UNI/ETH,Uniswap,UNI,70285,0.0007000000000000001,18310,0.0034000000000000002,5.56%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,32034,0.0271,25933,0.0382,5.56%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,DAI/ETH,Uniswap,DAI,57363,0.0024,20521,0.0060999999999999995,59.65%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,123893,0.0007000000000000001,22607,0.0032,59.65%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,ETH/CRV,Uniswap,ETH,11987,0.1501,12020,0.18760000000000002,-104.05%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,23639,0.517,17813,0.9411,-104.05%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,MATIC/ETH,Uniswap,MATIC,25111,0.1005,13823,0.24350000000000002,41.16%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,92490,0.0003,16144,0.0025,41.16%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,LINK/ETH,Uniswap,LINK,62034,0.0187,6591,0.0318,13.31%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,126890,0.0021,20647,0.0062,13.31%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,AAVE/ETH,Uniswap,AAVE,19312,0.0016,6696,0.005699999999999999,10.82%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,AAVE/ETH,Uniswap,ETH,132100,0.0,7910,0.0009,10.82%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,CEL/ETH,Uniswap,CEL,13399,0.0641,3805,0.2898,-0.39%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,CEL/ETH,Uniswap,ETH,11797,0.024399999999999998,10433,0.0346,-0.39%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,YFI/ETH,Uniswap,YFI,17955,0.0003,2972,0.0024,899.08%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,YFI/ETH,Uniswap,ETH,7464,0.0054,4274,0.012,899.08%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,SNX/ETH,Uniswap,SNX,2826,0.0126,2196,0.0202,37.28%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,SNX/ETH,Uniswap,ETH,6275,0.0032,3310,0.0075,37.28%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,ETH/USDT,Uniswap,ETH,11558,0.0066,2924,0.0022,136.65%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ETH,ETH/USDT,Uniswap,USDT,2808,0.038599999999999995,2794,0.0118,136.65%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ETH,COMP/ETH,Uniswap,COMP,12445,0.09449999999999999,1556,0.1219,-12.94%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,COMP/ETH,Uniswap,ETH,55168,0.0007000000000000001,1871,0.0036,-12.94%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
MATIC,MATIC/WETH,SushiSwap,MATIC,1395256,0.1247,889660,0.201,65.67%,(10x),0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5
MATIC,MATIC/WETH,SushiSwap,WETH,1482398,0.0968,962662,0.1532,65.67%,(10x),0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5
MATIC,WBTC/WETH,SushiSwap,WBTC,576378,0.1025,432934,0.158,22.72%,(10x),0x7da257e84f233c9d05959f923c797585549bb3cb
MATIC,WBTC/WETH,SushiSwap,WETH,704816,0.0812,470889,0.1495,22.72%,(10x),0x7da257e84f233c9d05959f923c797585549bb3cb
MATIC,WBTC/WETH,QuickSwap,WBTC,457900,0.102,340877,0.1593,84.03%,(10x),0x8f7f8a534f6a7d57fbda855cf3588eb1edc4508b
MATIC,WBTC/WETH,QuickSwap,WETH,535709,0.0924,364577,0.17010000000000003,84.03%,(10x),0x8f7f8a534f6a7d57fbda855cf3588eb1edc4508b
MATIC,WETH/DPI,QuickSwap,WETH,461989,0.111,307602,0.18510000000000001,142.07%,(10x),0xd83a3ddc19a651f79970291d71b41be5509e7c66
MATIC,WETH/DPI,QuickSwap,DPI,428477,0.0971,294515,0.20809999999999998,142.07%,(10x),0xd83a3ddc19a651f79970291d71b41be5509e7c66
MATIC,IMX/WETH,QuickSwap,IMX,349509,0.2255,259996,0.3547,512.31%,(5x),0x8ce3bf56767dd87e87487f3fae63e557b821ea32
MATIC,IMX/WETH,QuickSwap,WETH,403821,0.1092,284463,0.1573,512.31%,(5x),0x8ce3bf56767dd87e87487f3fae63e557b821ea32
MATIC,USDC/DAI,SushiSwap,USDC,329929,0.1855,263209,0.2751,82.89%,(20x),0x542ccc962097b184ca12a46030d967a735342cf8
MATIC,USDC/DAI,SushiSwap,DAI,343834,0.20120000000000002,264295,0.3036,82.89%,(20x),0x542ccc962097b184ca12a46030d967a735342cf8
MATIC,MAI/USDT,QuickSwap,MAI,330775,0.1216,243658,0.2236,101.03%,(20x),0xc3a4c0677b033bf6e9a4e22f930f1d60c5cd2c86
MATIC,MAI/USDT,QuickSwap,USDT,298436,0.2183,241821,0.3483,101.03%,(20x),0xc3a4c0677b033bf6e9a4e22f930f1d60c5cd2c86
MATIC,DAI/MAI,QuickSwap,DAI,297440,0.22010000000000002,228915,0.34729999999999994,46.12%,(20x),0x6d59c06a7f96a508310a76da84db397819e29c62
MATIC,DAI/MAI,QuickSwap,MAI,316409,0.1128,222430,0.2206,46.12%,(20x),0x6d59c06a7f96a508310a76da84db397819e29c62
MATIC,WBTC/pBTC,QuickSwap,WBTC,406570,0.2027,277028,0.2892,-198.30%,(20x),0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb
MATIC,WBTC/pBTC,QuickSwap,pBTC,223338,0.6064,146032,0.9953,-198.30%,(20x),0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb
MATIC,USDC/USDT,QuickSwap,USDC,274267,0.1967,207661,0.2974,87.64%,(20x),0x3e115a3af5a58c73571586468b0f5d08bfe9dab1
MATIC,USDC/USDT,QuickSwap,USDT,254585,0.21109999999999998,207587,0.3122,87.64%,(20x),0x3e115a3af5a58c73571586468b0f5d08bfe9dab1
MATIC,USDC/USDT,SushiSwap,USDC,248470,0.1865,178390,0.2949,-47.44%,(20x),0x9b2f10eae09fad574b3f76b977c06634a4ec3a46
MATIC,USDC/USDT,SushiSwap,USDT,221301,0.1888,178646,0.2923,-47.44%,(20x),0x9b2f10eae09fad574b3f76b977c06634a4ec3a46
MATIC,USDC/JPYC,QuickSwap,USDC,221209,0.1223,167615,0.20440000000000003,30.30%,(10x),0x205995421c72dc223f36bbfad78b66eea72d2677
MATIC,USDC/JPYC,QuickSwap,JPYC,225084,0.0874,167069,0.1517,30.30%,(10x),0x205995421c72dc223f36bbfad78b66eea72d2677
MATIC,USDC/WETH,SushiSwap,USDC,102777,0.18510000000000001,77009,0.297,118.73%,(5x),0xbb7ccc9c0f72fb91dee7053c652e961117db4368
MATIC,USDC/WETH,SushiSwap,WETH,204737,0.11599999999999999,135971,0.17809999999999998,118.73%,(5x),0xbb7ccc9c0f72fb91dee7053c652e961117db4368
MATIC,WETH/MVI,SushiSwap,WETH,113493,0.11410000000000001,83346,0.18420000000000003,83.36%,(10x),0xa13c38e12b1d516634dcfeb80abe620aedfcf0d0
MATIC,WETH/MVI,SushiSwap,MVI,184110,0.0487,101721,0.08779999999999999,83.36%,(10x),0xa13c38e12b1d516634dcfeb80abe620aedfcf0d0
MATIC,MATIC/WETH,QuickSwap,MATIC,126257,0.1069,69348,0.18600000000000003,120.33%,(10x),0x2383b93cfa6ddd9a7b35ddffd8d527e7ab80b920
MATIC,MATIC/WETH,QuickSwap,WETH,116768,0.0663,76186,0.1173,120.33%,(10x),0x2383b93cfa6ddd9a7b35ddffd8d527e7ab80b920
MATIC,QI/WETH,QuickSwap,QI,59360,0.5760000000000001,44701,0.9364,274.47%,(5x),0xb48e8c226facb7ade62ab0ca8588789aaa1428aa
MATIC,QI/WETH,QuickSwap,WETH,94956,0.1018,56864,0.1984,274.47%,(5x),0xb48e8c226facb7ade62ab0ca8588789aaa1428aa
MATIC,LINK/WETH,QuickSwap,LINK,52975,0.061200000000000004,45088,0.0819,142.32%,(10x),0x0c7feaa175f62779be13cdd4fe878e55ee70179e
MATIC,LINK/WETH,QuickSwap,WETH,68743,0.1001,48177,0.1804,142.32%,(10x),0x0c7feaa175f62779be13cdd4fe878e55ee70179e
MATIC,WBTC/ibBTC,SushiSwap,WBTC,100174,0.1414,80210,0.1807,-145.83%,(20x),0xba8d0e69773c2f5d385968e42050f23b24b35e36
MATIC,WBTC/ibBTC,SushiSwap,ibBTC,0,0.11960000000000001,0,0.1797,-145.83%,(20x),0xba8d0e69773c2f5d385968e42050f23b24b35e36
MATIC,USDC/WETH,QuickSwap,USDC,41811,0.16949999999999998,30845,0.2963,129.89%,(5x),0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328
MATIC,USDC/WETH,QuickSwap,WETH,44625,0.0913,32419,0.1754,129.89%,(5x),0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328
MATIC,WETH/UNI,QuickSwap,WETH,51701,0.0553,30334,0.1229,325.44%,(10x),0xb361e254dae512a7bd37f72b926f625f4d39db56
