blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,368352.0,0.6686,305790.0,1.0491,0xa00d47b4b304792eb07b09233467b690db847c91,65.90%,(5x)
ETH,IMX/ETH,Uniswap,ETH,376641.0,0.034300000000000004,323319.0,0.0542,0xa00d47b4b304792eb07b09233467b690db847c91,65.90%,(5x)
ETH,USDC/USDT,Uniswap,USDC,239727.0,0.028900000000000002,125500.0,0.0735,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,227.06%,(20x)
ETH,USDC/USDT,Uniswap,USDT,224253.0,0.1408,127670.0,0.2844,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,227.06%,(20x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,193342.0,0.0009,43192.0,0.0040999999999999995,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,164.16%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,47248.0,0.08199999999999999,29702.0,0.1319,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,164.16%,(5x)
ETH,DPI/ETH,Uniswap,DPI,80802.0,0.0012,27647.0,0.0043,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,76.59%,(10x)
ETH,DPI/ETH,Uniswap,ETH,212049.0,0.0004,40927.0,0.0024,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,76.59%,(10x)
ETH,USDC/ETH,Uniswap,USDC,41716.0,0.4025,35403.0,0.5932999999999999,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,-25.38%,(5x)
ETH,USDC/ETH,Uniswap,ETH,103888.0,0.0024,41052.0,0.0064,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,-25.38%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,47936.0,0.0034000000000000002,25772.0,0.0073,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,19.05%,(10x)
