blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier
ARB,SPELL/ETH,SushiSwap,SPELL,1874314,0.217,1131296,0.3881,199.05%,(5x)
ARB,SPELL/ETH,SushiSwap,ETH,2283453,0.11130000000000001,1562734,0.1797,199.05%,(5x)
ARB,WBTC/ETH,SushiSwap,WBTC,876202,0.0704,587574,0.1496,76.96%,(10x)
ARB,WBTC/ETH,SushiSwap,ETH,1020330,0.0717,603630,0.1561,76.96%,(10x)
ARB,WBTC/ETH,Swapr,WBTC,677774,0.1272,436271,0.22899999999999998,159.69%,(10x)
ARB,WBTC/ETH,Swapr,ETH,755195,0.10210000000000001,461879,0.19269999999999998,159.69%,(10x)
ARB,ETH/USDC,SushiSwap,ETH,2225828,0.0018,417435,0.0025,95.27%,(5x)
ARB,ETH/USDC,SushiSwap,USDC,588647,0.20879999999999999,393604,0.37479999999999997,95.27%,(5x)
ARB,ETH/IMX,SushiSwap,ETH,459713,0.0975,296844,0.1802,348.67%,(5x)
ARB,ETH/IMX,SushiSwap,IMX,380201,0.04019999999999999,282598,0.049100000000000005,348.67%,(5x)
ARB,ETH/MIM,SushiSwap,ETH,460403,0.0818,251573,0.1748,110.30%,(5x)
ARB,ETH/MIM,SushiSwap,MIM,435623,0.2924,255841,0.5338,110.30%,(5x)
ARB,ETH/IMX,Swapr,ETH,257942,0.1246,145410,0.17620000000000002,546.68%,(5x)
ARB,ETH/IMX,Swapr,IMX,250180,0.0525,142972,0.0681,546.68%,(5x)
ARB,ETH/USDT,SushiSwap,ETH,256952,0.1018,147610,0.1925,146.34%,(5x)
ARB,ETH/USDT,SushiSwap,USDT,223140,0.2159,139406,0.43729999999999997,146.34%,(5x)
ARB,ETH/USDC,Swapr,ETH,289549,0.1072,112259,0.20199999999999999,210.20%,(5x)
ARB,ETH/USDC,Swapr,USDC,230626,0.3096,109944,0.52,210.20%,(5x)
ARB,ETH/SUSHI,SushiSwap,ETH,212121,0.069,109484,0.1398,132.47%,(5x)
ARB,ETH/SUSHI,SushiSwap,SUSHI,157552,0.2071,89489,0.39520000000000005,132.47%,(5x)
ARB,ETH/LINK,Swapr,ETH,169336,0.11560000000000001,98905,0.2121,93.87%,(5x)
ARB,ETH/LINK,Swapr,LINK,155865,0.2116,96170,0.3649,93.87%,(5x)
ARB,USDT/USDC,Swapr,USDT,128733,0.2084,89824,0.374,512.26%,(20x)
ARB,USDT/USDC,Swapr,USDC,130519,0.1436,88960,0.2716,512.26%,(20x)
ARB,ETH/DAI,Swapr,ETH,93395,0.09939999999999999,53205,0.2297,83.47%,(5x)
ARB,ETH/DAI,Swapr,DAI,99743,0.1048,69904,0.21530000000000002,83.47%,(5x)
ARB,MKR/ETH,Swapr,MKR,140737,0.0226,91662,0.0167,412.23%,(10x)
ARB,MKR/ETH,Swapr,ETH,128070,0.1255,74617,0.2432,412.23%,(10x)
ARB,ETH/SWPR,Swapr,ETH,77821,0.1173,64294,0.1972,630.12%,(5x)
ARB,ETH/SWPR,Swapr,SWPR,113660,0.06860000000000001,54634,0.18510000000000001,630.12%,(5x)
AVAX,MIM/AVAX,TraderJoe,MIM,1450824,0.48460000000000003,964149,0.8423,291.95%,(5x)
AVAX,MIM/AVAX,TraderJoe,AVAX,1811901,0.3764,1265148,0.6328,291.95%,(5x)
AVAX,WETH.e/AVAX,Pangolin,WETH.e,430834,0.1275,257474,0.22649999999999998,263.45%,(10x)
AVAX,WETH.e/AVAX,Pangolin,AVAX,521657,0.29510000000000003,409198,0.5041,263.45%,(10x)
AVAX,AVAX/IMX.a,Pangolin,AVAX,298805,0.3331,228802,0.5593,446.12%,(5x)
AVAX,AVAX/IMX.a,Pangolin,IMX.a,220381,0.04769999999999999,149559,0.11230000000000001,446.12%,(5x)
AVAX,WETH.e/AVAX,TraderJoe,WETH.e,252669,0.1522,172490,0.2652,365.47%,(10x)
AVAX,WETH.e/AVAX,TraderJoe,AVAX,290273,0.2961,200650,0.5093,365.47%,(10x)
AVAX,USDC.e/USDT.e,TraderJoe,USDC.e,215325,0.284,148961,0.4775,-20.72%,(20x)
