blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,242570,0.044500000000000005,187678,0.07519999999999999,696.79%,(5x)
ETH,IMX/ETH,Uniswap,ETH,453054,0.15410000000000001,328616,0.2921,696.79%,(5x)
ETH,USDC/USDT,Uniswap,USDC,415854,0.1108,246797,0.2231,520.62%,(20x)
ETH,USDC/USDT,Uniswap,USDT,387342,0.1352,252437,0.3407,520.62%,(20x)
ETH,DPI/ETH,Uniswap,DPI,108430,0.2014,54780,0.2896,233.68%,(10x)
ETH,DPI/ETH,Uniswap,ETH,308136,0.0004,72618,0.0025,233.68%,(10x)
ETH,LINK/ETH,Uniswap,LINK,62010,0.0103,45565,0.0176,233.72%,(5x)
ETH,LINK/ETH,Uniswap,ETH,139271,0.0021,60304,0.0062,233.72%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,205377,0.0009,58714,0.0040999999999999995,138.41%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,85105,0.042300000000000004,45294,0.09949999999999999,138.41%,(5x)
ETH,USDC/ETH,Uniswap,USDC,117839,0.027200000000000002,34126,0.1175,508.26%,(5x)
ETH,USDC/ETH,Uniswap,ETH,181622,0.0060999999999999995,48034,0.0287,508.26%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,192527,0.0003,37204,0.0023,432.44%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,103793,0.052199999999999996,41621,0.1783,432.44%,(10x)
ETH,UNI/ETH,Uniswap,UNI,97077,0.0012,26073,0.0044,15.64%,(5x)
ETH,UNI/ETH,Uniswap,ETH,38050,0.0045000000000000005,35723,0.008199999999999999,15.64%,(5x)
ETH,DAI/ETH,Uniswap,DAI,57645,0.0024,28247,0.0060999999999999995,318.17%,(5x)
ETH,DAI/ETH,Uniswap,ETH,135988,0.0007000000000000001,35239,0.0032,318.17%,(5x)
ETH,ETH/CRV,Uniswap,ETH,13125,0.1501,13153,0.18760000000000002,-157.52%,(5x)
ETH,ETH/CRV,Uniswap,CRV,28821,0.5159,20153,0.9406,-157.52%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,30803,0.1005,15932,0.24350000000000002,520.82%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,101520,0.0003,17720,0.0025,520.82%,(5x)
ETH,COMP/ETH,Uniswap,COMP,12360,0.0192,12360,0.0286,405.39%,(5x)
ETH,COMP/ETH,Uniswap,ETH,60888,0.0008,15703,0.0037,405.39%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,23238,0.0016,8056,0.005699999999999999,667.22%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,144998,0.0,8683,0.0009,667.22%,(5x)
ETH,CEL/ETH,Uniswap,CEL,13384,0.0641,3787,0.2898,1.32%,(5x)
ETH,CEL/ETH,Uniswap,ETH,12944,0.0019,11445,0.0058,1.32%,(5x)
ETH,YFI/ETH,Uniswap,YFI,17955,0.0003,2972,0.0024,17.98%,(5x)
ETH,YFI/ETH,Uniswap,ETH,8337,0.0054,4691,0.012,17.98%,(5x)
ETH,SNX/ETH,Uniswap,SNX,3452,0.0126,2682,0.0202,53.13%,(5x)
ETH,SNX/ETH,Uniswap,ETH,6887,0.0032,3633,0.0075,53.13%,(5x)
ETH,ETH/USDT,Uniswap,ETH,12542,0.0004,1887,0.0024,10346.12%,(5x)
ETH,ETH/USDT,Uniswap,USDT,2806,0.0339,1582,0.1558,10346.12%,(5x)
MATIC,MATIC/WETH,SushiSwap,MATIC,1647159,0.1552,1317239,0.2452,119.66%,(10x)
MATIC,MATIC/WETH,SushiSwap,WETH,2066969,0.1208,1458404,0.19140000000000001,119.66%,(10x)
MATIC,WBTC/WETH,SushiSwap,WBTC,556190,0.1012,454975,0.1432,41.49%,(10x)
MATIC,WBTC/WETH,SushiSwap,WETH,754236,0.11410000000000001,485453,0.1833,41.49%,(10x)
MATIC,WBTC/WETH,QuickSwap,WBTC,522810,0.0984,425941,0.1464,40.19%,(10x)
MATIC,WBTC/WETH,QuickSwap,WETH,693147,0.11939999999999999,444875,0.2057,40.19%,(10x)
MATIC,USDC/DAI,SushiSwap,USDC,409678,0.17850000000000002,325726,0.2561,83.84%,(20x)
MATIC,USDC/DAI,SushiSwap,DAI,458307,0.1861,327444,0.2755,83.84%,(20x)
MATIC,IMX/WETH,QuickSwap,IMX,427146,0.2725,284579,0.4364,464.00%,(5x)
MATIC,IMX/WETH,QuickSwap,WETH,457054,0.1412,336607,0.20559999999999998,464.00%,(5x)
MATIC,DAI/MAI,QuickSwap,DAI,321771,0.2108,245068,0.3235,-40.68%,(20x)
MATIC,DAI/MAI,QuickSwap,MAI,379567,0.15990000000000001,244733,0.2837,-40.68%,(20x)
MATIC,USDC/USDT,QuickSwap,USDC,333848,0.19949999999999998,243604,0.2964,22.64%,(20x)
MATIC,USDC/USDT,QuickSwap,USDT,321788,0.17300000000000001,243618,0.2797,22.64%,(20x)
MATIC,WETH/DPI,QuickSwap,WETH,379077,0.1351,240977,0.21899999999999997,130.10%,(10x)
MATIC,WETH/DPI,QuickSwap,DPI,470205,0.18289999999999998,234617,0.3325,130.10%,(10x)
MATIC,MAI/USDT,QuickSwap,MAI,381710,0.1505,235149,0.28,-0.35%,(20x)
MATIC,MAI/USDT,QuickSwap,USDT,337459,0.2051,232452,0.3389,-0.35%,(20x)
MATIC,USDC/USDT,SushiSwap,USDC,318842,0.19879999999999998,210869,0.29719999999999996,24.92%,(20x)
MATIC,USDC/USDT,SushiSwap,USDT,284172,0.1771,211800,0.2821,24.92%,(20x)
MATIC,USDC/JPYC,QuickSwap,USDC,218957,0.1329,151014,0.2182,24.01%,(10x)
