blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,371969.0,0.5546,297793.0,0.8476,222.92%,(5x)
ETH,IMX/ETH,Uniswap,ETH,500050.0,0.0501,345724.0,0.09480000000000001,222.92%,(5x)
ETH,USDC/USDT,Uniswap,USDC,407635.0,0.0861,173755.0,0.1606,-62.36%,(20x)
ETH,USDC/USDT,Uniswap,USDT,398610.0,0.2709,182979.0,0.4854,-62.36%,(20x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215742.0,0.0009,61689.0,0.0040999999999999995,32.04%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,55143.0,0.056900000000000006,41594.0,0.0944,32.04%,(5x)
ETH,DPI/ETH,Uniswap,DPI,106890.0,0.0454,36571.0,0.1433,65.69%,(10x)
ETH,DPI/ETH,Uniswap,ETH,226978.0,0.0003,43807.0,0.0023,65.69%,(10x)
ETH,USDC/ETH,Uniswap,USDC,41168.0,0.23989999999999997,34913.0,0.35810000000000003,36.36%,(5x)
ETH,USDC/ETH,Uniswap,ETH,111195.0,0.0055000000000000005,43936.0,0.026099999999999998,36.36%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,50797.0,0.0004,29615.0,0.0024,-6.42%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,94701.0,0.027999999999999997,38173.0,0.0873,-6.42%,(10x)
ETH,DAI/ETH,Uniswap,DAI,20587.0,0.039900000000000005,20588.0,0.0499,62.20%,(5x)
ETH,DAI/ETH,Uniswap,ETH,124215.0,0.0003,22668.0,0.0023,62.20%,(5x)
ETH,LINK/ETH,Uniswap,LINK,26228.0,0.0003,3977.0,0.0022,43.09%,(5x)
ETH,LINK/ETH,Uniswap,ETH,127220.0,0.0003,20703.0,0.0023,43.09%,(5x)
ETH,ETH/CRV,Uniswap,ETH,12149.0,0.1501,4751.0,0.18760000000000002,-72.33%,(5x)
ETH,ETH/CRV,Uniswap,CRV,13492.0,0.6483,5942.0,1.1575,-72.33%,(5x)
ETH,CEL/ETH,Uniswap,CEL,13468.0,0.0643,1785.0,0.2898,61.31%,(5x)
ETH,CEL/ETH,Uniswap,ETH,11846.0,0.024399999999999998,6493.0,0.0346,61.31%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,30164.0,0.0012,3748.0,0.0124,187.52%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,52158.0,0.0001,3485.0,0.001,187.52%,(5x)
ETH,UNI/ETH,Uniswap,UNI,13969.0,0.0002,1762.0,0.0016,38.03%,(5x)
