blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,IMX/ETH,Uniswap,IMX,367023.0,0.5794,301235.0,0.8956999999999999,151.56%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,415448.0,0.0416,322974.0,0.0771,151.56%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,USDC/USDT,Uniswap,USDC,301214.0,0.0344,144143.0,0.08929999999999999,181.69%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,268449.0,0.1368,147287.0,0.3072,181.69%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215744.0,0.0009,61692.0,0.0040999999999999995,34.67%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,47107.0,0.056900000000000006,38953.0,0.0944,34.67%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,DPI/ETH,Uniswap,DPI,80800.0,0.0012,27646.0,0.0042,145.31%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,211944.0,0.0004,40906.0,0.0024,145.31%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,USDC/ETH,Uniswap,USDC,41344.0,0.397,35134.0,0.5868,0.47%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,103832.0,0.001,41029.0,0.0048,0.47%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,WBTC/ETH,Uniswap,WBTC,48263.0,0.0004,28139.0,0.0024,30.54%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,88430.0,0.0016,35647.0,0.005,30.54%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,DAI/ETH,Uniswap,DAI,20618.0,0.039900000000000005,20621.0,0.0499,43.47%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,115988.0,0.0003,21167.0,0.0023,43.47%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,LINK/ETH,Uniswap,LINK,25925.0,0.0002,3130.0,0.0021,78.72%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,118793.0,0.0003,17109.0,0.0023,78.72%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,ETH/CRV,Uniswap,ETH,11365.0,0.1729,4463.0,0.5556,-39.68%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,13504.0,0.0977,5957.0,0.41700000000000004,-39.68%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,CEL/ETH,Uniswap,CEL,13468.0,0.0643,1785.0,0.2898,92.07%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,CEL/ETH,Uniswap,ETH,11067.0,0.024399999999999998,6069.0,0.0346,92.07%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,MATIC/ETH,Uniswap,MATIC,32430.0,0.001,3943.0,0.0101,192.24%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,48703.0,0.0001,2869.0,0.001,192.24%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,UNI/ETH,Uniswap,UNI,13220.0,0.0002,1777.0,0.0016,29.30%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,29665.0,0.0013,4535.0,0.010700000000000001,29.30%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,YFI/ETH,Uniswap,YFI,12747.0,0.0003,2110.0,0.0024,66.50%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,YFI/ETH,Uniswap,ETH,4006.0,0.04,4006.0,0.05,66.50%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,ETH/USDT,Uniswap,ETH,10820.0,0.0006,2738.0,0.0032,94.44%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ETH,ETH/USDT,Uniswap,USDT,2820.0,0.0527,2808.0,0.0663,94.44%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ETH,SNX/ETH,Uniswap,SNX,1765.0,0.18710000000000002,1521.0,0.27190000000000003,-16.52%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,SNX/ETH,Uniswap,ETH,5876.0,0.0032,3100.0,0.0075,-16.52%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,COMP/ETH,Uniswap,COMP,2337.0,0.0102,962.34,0.030899999999999997,382.60%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,COMP/ETH,Uniswap,ETH,51647.0,0.0,1752.0,0.0005,382.60%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,AAVE/ETH,Uniswap,AAVE,12770.0,0.0,544.82,0.0006,24.56%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
