blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,IMX/ETH,Uniswap,IMX,363330.0,0.4315,297687.0,0.653,277.43%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,489512.0,0.0707,324280.0,0.13419999999999999,277.43%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,USDC/USDT,Uniswap,USDC,407456.0,0.09949999999999999,268224.0,0.1773,86.95%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,400025.0,0.3061,277541.0,0.5236999999999999,86.95%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215740.0,0.0009,61687.0,0.0040999999999999995,46.72%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,49611.0,0.056900000000000006,37409.0,0.0944,46.72%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,DPI/ETH,Uniswap,DPI,107867.0,0.054900000000000004,36570.0,0.17300000000000001,21.28%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,204311.0,0.0003,39431.0,0.0023,21.28%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,USDC/ETH,Uniswap,USDC,41020.0,0.23989999999999997,34729.0,0.35810000000000003,36.13%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,148758.0,0.0060999999999999995,39547.0,0.0287,36.13%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,WBTC/ETH,Uniswap,WBTC,175119.0,0.0004,33844.0,0.0024,-5.23%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,85243.0,0.027999999999999997,34360.0,0.0873,-5.23%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,DAI/ETH,Uniswap,DAI,20626.0,0.039900000000000005,20626.0,0.0499,61.84%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,111811.0,0.0003,20404.0,0.0023,61.84%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,LINK/ETH,Uniswap,LINK,31531.0,0.0006,4781.0,0.0066,35.18%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,114515.0,0.0003,18635.0,0.0023,35.18%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,CEL/ETH,Uniswap,CEL,13429.0,0.0641,3843.0,0.2898,79.63%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,CEL/ETH,Uniswap,ETH,10656.0,0.024399999999999998,9427.0,0.0346,79.63%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,ETH/CRV,Uniswap,ETH,10918.0,0.1501,4255.0,0.18760000000000002,-157.17%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,29450.0,0.8845000000000001,8638.0,1.4685,-157.17%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,YFI/ETH,Uniswap,YFI,15946.0,0.0003,2640.0,0.0024,873.88%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,YFI/ETH,Uniswap,ETH,6737.0,0.0037,3858.0,0.008199999999999999,873.88%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,MATIC/ETH,Uniswap,MATIC,30164.0,0.025699999999999997,3747.0,0.058600000000000006,149.56%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,46949.0,0.0003,3137.0,0.0025,149.56%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,UNI/ETH,Uniswap,UNI,17255.0,0.0006,2176.0,0.0031,23.05%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,28596.0,0.0449,4371.0,0.06860000000000001,23.05%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,ETH/USDT,Uniswap,ETH,10431.0,0.0006,2639.0,0.0032,107.74%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
