blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,68744.0,0.0125,42267.0,0.0064,0xa00d47b4b304792eb07b09233467b690db847c91,-7.86%,(5x)
ETH,IMX/ETH,Uniswap,ETH,136596.0,0.0417,115288.0,0.0602,0xa00d47b4b304792eb07b09233467b690db847c91,-7.86%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210161.0,0.0029,49486.0,0.0038,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-298.23%,(20x)
ETH,USDC/USDT,Uniswap,USDT,77301.0,0.2523,51413.0,0.35159999999999997,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-298.23%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64732.0,0.0572,35784.0,0.1313,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,25.90%,(5x)
ETH,USDC/ETH,Uniswap,ETH,54980.0,0.0021,25604.0,0.005600000000000001,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,25.90%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27323.0,0.005600000000000001,20448.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,16.34%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,48887.0,0.0019,21130.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,16.34%,(10x)
ETH,DPI/ETH,Uniswap,DPI,23805.0,0.004699999999999999,16271.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,32.96%,(10x)
ETH,DPI/ETH,Uniswap,ETH,132481.0,0.0004,26210.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,32.96%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15711.0,0.0375,11105.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,0.26%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,37600.0,0.0647,19500.0,0.0809,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,0.26%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0001,970.08,0.0015,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,34.13%,(5x)
ETH,LINK/ETH,Uniswap,ETH,66503.0,0.0002,9464.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,34.13%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9938.0,0.001,3208.0,0.004,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,43.45%,(5x)
ETH,DAI/ETH,Uniswap,ETH,74275.0,0.0,1538.0,0.0003,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,43.45%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3351.0,0.0008,959.61,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.78%,(5x)
ETH,UNI/ETH,Uniswap,ETH,19002.0,0.0013,2912.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.78%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0003,908.44,0.0024,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,138.44%,(5x)
ETH,YFI/ETH,Uniswap,ETH,3066.0,0.042800000000000005,1558.0,0.0541,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,138.44%,(5x)
ETH,COMP/ETH,Uniswap,COMP,565.25,0.04,566.04,0.05,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-10.11%,(5x)
ETH,COMP/ETH,Uniswap,ETH,28135.0,0.0,1122.0,0.0006,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-10.11%,(5x)
ETH,ETH/USDT,Uniswap,ETH,1558.0,0.0137,731.44,0.0368,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,34.00%,(5x)
