blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,91079.0,0.0073,60349.0,0.008199999999999999,0xa00d47b4b304792eb07b09233467b690db847c91,-16.57%,(5x)
ETH,IMX/ETH,Uniswap,ETH,178706.0,0.0751,127841.0,0.1301,0xa00d47b4b304792eb07b09233467b690db847c91,-16.57%,(5x)
ETH,USDC/USDT,Uniswap,USDC,209568.0,0.0023,45592.0,0.0033,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-191.20%,(20x)
ETH,USDC/USDT,Uniswap,USDT,68620.0,0.1241,38339.0,0.22829999999999998,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-191.20%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64816.0,0.0583,35889.0,0.1319,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,13.14%,(5x)
ETH,USDC/ETH,Uniswap,ETH,61095.0,0.0022,28454.0,0.0058,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,13.14%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,29985.0,0.005600000000000001,22442.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,17.00%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,54323.0,0.0019,23482.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,17.00%,(10x)
ETH,DPI/ETH,Uniswap,DPI,23020.0,0.006,18143.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,13.80%,(10x)
ETH,DPI/ETH,Uniswap,ETH,147211.0,0.0006,30568.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,13.80%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15725.0,0.0375,11121.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-73.34%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,61131.0,0.1607,21804.0,0.3909,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-73.34%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2681.0,0.0012,0.07,0.0042,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,27.22%,(5x)
ETH,LINK/ETH,Uniswap,ETH,73896.0,0.0002,8625.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,27.22%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9924.0,0.001,3204.0,0.004,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,37.77%,(5x)
ETH,DAI/ETH,Uniswap,ETH,82531.0,0.0,1709.0,0.0003,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,37.77%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3685.0,0.0008,1055.0,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,9.71%,(5x)
ETH,UNI/ETH,Uniswap,ETH,21115.0,0.0013,3236.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,9.71%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0001,908.46,0.0013,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,-98.61%,(5x)
ETH,YFI/ETH,Uniswap,ETH,6863.0,0.195,1746.0,0.5603,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,-98.61%,(5x)
