blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,79060.0,0.0096,51894.0,0.0077,0xa00d47b4b304792eb07b09233467b690db847c91,-23.11%,(5x)
ETH,IMX/ETH,Uniswap,ETH,184787.0,0.0732,112865.0,0.1079,0xa00d47b4b304792eb07b09233467b690db847c91,-23.11%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210172.0,0.0024,58731.0,0.0032,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-221.51%,(20x)
ETH,USDC/USDT,Uniswap,USDT,77183.0,0.1502,51382.0,0.2618,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-221.51%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64763.0,0.0583,35823.0,0.1319,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,15.30%,(5x)
ETH,USDC/ETH,Uniswap,ETH,53982.0,0.0022,25140.0,0.0058,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,15.30%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27325.0,0.005600000000000001,20450.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,15.83%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,47999.0,0.0019,20747.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,15.83%,(10x)
ETH,DPI/ETH,Uniswap,DPI,23806.0,0.004699999999999999,16272.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,24.40%,(10x)
ETH,DPI/ETH,Uniswap,ETH,130074.0,0.0004,25734.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,24.40%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15716.0,0.0375,11111.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-9.48%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,53968.0,0.0724,19206.0,0.1059,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-9.48%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0014000000000000002,970.12,0.005,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,20.93%,(5x)
ETH,LINK/ETH,Uniswap,ETH,65295.0,0.0002,9292.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,20.93%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9958.0,0.001,3214.0,0.004,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,36.41%,(5x)
ETH,DAI/ETH,Uniswap,ETH,72925.0,0.0,1510.0,0.0003,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,36.41%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3351.0,0.0008,959.64,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.79%,(5x)
ETH,UNI/ETH,Uniswap,ETH,18657.0,0.0013,2859.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.79%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0003,908.45,0.0025,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,66.91%,(5x)
ETH,YFI/ETH,Uniswap,ETH,6060.0,0.0484,1537.0,0.0722,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,66.91%,(5x)
ETH,COMP/ETH,Uniswap,COMP,565.43,0.04,566.27,0.05,0xcffdded873554f362ac02f8fb1f02e5ada10516f,4.54%,(5x)
ETH,COMP/ETH,Uniswap,ETH,27623.0,0.0,1102.0,0.0006,0xcffdded873554f362ac02f8fb1f02e5ada10516f,4.54%,(5x)
ETH,ETH/USDT,Uniswap,ETH,1530.0,0.0137,718.36,0.0368,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,23.30%,(5x)
ETH,ETH/USDT,Uniswap,USDT,11540.0,0.0054,1257.0,0.06280000000000001,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,23.30%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,344.62,0.04,344.88,0.05,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,25.42%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,77604.0,0.0,608.83,0.0001,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,25.42%,(5x)
ETH,ETH/CRV,Uniswap,ETH,2568.0,0.0008,19.57,0.0037,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,140.08%,(5x)
ETH,ETH/CRV,Uniswap,CRV,4474.0,0.0004,77.77,0.0027,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,140.08%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,7711.0,0.0,42.44,0.0001,0x819f3450da6f110ba6ea52195b3beafa246062de,52.83%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,30622.0,0.0,15.72,0.0,0x819f3450da6f110ba6ea52195b3beafa246062de,52.83%,(5x)
ETH,CEL/ETH,Uniswap,CEL,3411.0,0.0006,0.7,0.0034000000000000002,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,23.70%,(5x)
ETH,CEL/ETH,Uniswap,ETH,3709.0,0.06509999999999999,2.15,0.0815,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,23.70%,(5x)
ETH,SNX/ETH,Uniswap,SNX,1662.0,0.0,1.02,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,96.33%,(5x)
ETH,SNX/ETH,Uniswap,ETH,36.83,0.0,1.56,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,96.33%,(5x)
