blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,71438.0,0.013600000000000001,44922.0,0.006999999999999999,0xa00d47b4b304792eb07b09233467b690db847c91,788.83%,(5x)
ETH,IMX/ETH,Uniswap,ETH,135944.0,0.0516,112616.0,0.073,0xa00d47b4b304792eb07b09233467b690db847c91,788.83%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210161.0,0.0029,49487.0,0.0038,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-40.67%,(20x)
ETH,USDC/USDT,Uniswap,USDT,77325.0,0.2523,51447.0,0.35159999999999997,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-40.67%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64744.0,0.0562,35799.0,0.1319,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,22.64%,(5x)
ETH,USDC/ETH,Uniswap,ETH,54914.0,0.0022,25573.0,0.0058,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,22.64%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27324.0,0.005600000000000001,20449.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,14.49%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,48827.0,0.0019,21105.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,14.49%,(10x)
ETH,DPI/ETH,Uniswap,DPI,23806.0,0.004699999999999999,16271.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,32.43%,(10x)
ETH,DPI/ETH,Uniswap,ETH,132319.0,0.0004,26178.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,32.43%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15713.0,0.0375,11107.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-0.29%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,37575.0,0.0647,19502.0,0.0809,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-0.29%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0001,970.09,0.0015,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,30.64%,(5x)
ETH,LINK/ETH,Uniswap,ETH,66422.0,0.0002,9453.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,30.64%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9944.0,0.001,3210.0,0.004,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,42.57%,(5x)
ETH,DAI/ETH,Uniswap,ETH,74184.0,0.0,1536.0,0.0003,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,42.57%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3351.0,0.0008,959.62,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,13.00%,(5x)
ETH,UNI/ETH,Uniswap,ETH,18979.0,0.0013,2908.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,13.00%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0003,908.44,0.0024,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,98.89%,(5x)
ETH,YFI/ETH,Uniswap,ETH,3581.0,0.0441,1559.0,0.057800000000000004,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,98.89%,(5x)
ETH,COMP/ETH,Uniswap,COMP,565.32,0.04,566.13,0.05,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-7.59%,(5x)
ETH,COMP/ETH,Uniswap,ETH,28100.0,0.0,1121.0,0.0006,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-7.59%,(5x)
ETH,ETH/USDT,Uniswap,ETH,1556.0,0.0137,730.63,0.0368,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,32.62%,(5x)
ETH,ETH/USDT,Uniswap,USDT,11568.0,0.0054,1259.0,0.06280000000000001,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,32.62%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,347.02,0.04,347.27,0.05,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,26.81%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,78944.0,0.0,619.34,0.0001,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,26.81%,(5x)
ETH,ETH/CRV,Uniswap,ETH,2612.0,0.001,19.91,0.0040999999999999995,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,192.91%,(5x)
ETH,ETH/CRV,Uniswap,CRV,4884.0,0.0005,84.89,0.003,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,192.91%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,7711.0,0.0,42.44,0.0001,0x819f3450da6f110ba6ea52195b3beafa246062de,51.25%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,31151.0,0.0,15.99,0.0,0x819f3450da6f110ba6ea52195b3beafa246062de,51.25%,(5x)
ETH,CEL/ETH,Uniswap,CEL,3411.0,0.0006,0.7,0.0034000000000000002,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,22.07%,(5x)
ETH,CEL/ETH,Uniswap,ETH,3773.0,0.06509999999999999,2.19,0.0815,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,22.07%,(5x)
ETH,SNX/ETH,Uniswap,SNX,1662.0,0.0,1.02,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,98.74%,(5x)
ETH,SNX/ETH,Uniswap,ETH,37.46,0.0,1.59,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,98.74%,(5x)
MATIC,MATIC/WETH,QuickSwap,MATIC,668154.0,0.0783,451867.0,0.1465,0x1714f3d4c4654bd5afd0ff2590d23b053e0bea81,84.57%,(10x)
MATIC,MATIC/WETH,QuickSwap,WETH,688591.0,0.0387,501277.0,0.061799999999999994,0x1714f3d4c4654bd5afd0ff2590d23b053e0bea81,84.57%,(10x)
MATIC,MATIC/USDC,QuickSwap,MATIC,422069.0,0.0978,281229.0,0.15810000000000002,0xe74189ce423345967ef5a646316ece52bb2fbfc9,72.27%,(5x)
MATIC,MATIC/USDC,QuickSwap,USDC,505110.0,0.0415,357954.0,0.0542,0xe74189ce423345967ef5a646316ece52bb2fbfc9,72.27%,(5x)
MATIC,MATIC/WETH,SushiSwap,MATIC,419557.0,0.048799999999999996,276934.0,0.09390000000000001,0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5,53.85%,(10x)
MATIC,MATIC/WETH,SushiSwap,WETH,301296.0,0.0366,261322.0,0.0571,0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5,53.85%,(10x)
MATIC,USDC/JPYC,QuickSwap,USDC,538828.0,0.0199,246354.0,0.029300000000000003,0x205995421c72dc223f36bbfad78b66eea72d2677,49.78%,(10x)
MATIC,USDC/JPYC,QuickSwap,JPYC,290929.0,0.12480000000000001,233227.0,0.1822,0x205995421c72dc223f36bbfad78b66eea72d2677,49.78%,(10x)
MATIC,MATIC/USDT,QuickSwap,MATIC,294599.0,0.0706,195857.0,0.14150000000000001,0x14a49b53b62f7037814d4f5cab8c92f185d045b0,63.48%,(5x)
MATIC,MATIC/USDT,QuickSwap,USDT,326106.0,0.0874,238242.0,0.1566,0x14a49b53b62f7037814d4f5cab8c92f185d045b0,63.48%,(5x)
MATIC,WETH/cxETH,QuickSwap,WETH,242368.0,0.0647,162135.0,0.1032,0x33df8a72f92fb77b43f787cac7a56697f2ee54ab,68.80%,(20x)
MATIC,WETH/cxETH,QuickSwap,cxETH,209583.0,0.22899999999999998,129058.0,0.4007,0x33df8a72f92fb77b43f787cac7a56697f2ee54ab,68.80%,(20x)
