blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,USDC/ETH,Uniswap,USDC,62238.0,0.052199999999999996,38268.0,0.1063,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,36.84%,(5x)
ETH,USDC/ETH,Uniswap,ETH,32773.0,0.0017000000000000001,13481.0,0.0051,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,36.84%,(5x)
ETH,USDC/USDT,Uniswap,USDC,70604.0,0.0001,6465.0,0.0012,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,25.10%,(20x)
ETH,USDC/USDT,Uniswap,USDT,16599.0,0.0025,7976.0,0.0064,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,25.10%,(20x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,2054.0,0.0054,1415.0,0.0098,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,36.60%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,12559.0,0.04,12563.0,0.05,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,36.60%,(5x)
ETH,LINK/ETH,Uniswap,LINK,1271.0,0.0,0.03,0.0,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,-53.90%,(5x)
ETH,LINK/ETH,Uniswap,ETH,12835.0,0.1075,5218.0,0.33490000000000003,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,-53.90%,(5x)
ETH,ETH/USDT,Uniswap,ETH,769.98,0.0034999999999999996,452.72,0.0073,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,59.94%,(5x)
ETH,ETH/USDT,Uniswap,USDT,10313.0,0.0001,1259.0,0.0015,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,59.94%,(5x)
ETH,IMX/ETH,Uniswap,IMX,309.66,3.3602999999999996,315.62,4.343,0xa00d47b4b304792eb07b09233467b690db847c91,-868.72%,(5x)
ETH,IMX/ETH,Uniswap,ETH,16351.0,0.0,709.88,0.0005,0xa00d47b4b304792eb07b09233467b690db847c91,-868.72%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,998.71,0.0012,318.38,0.0046,0x819f3450da6f110ba6ea52195b3beafa246062de,23.59%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,276.82,0.04,277.22,0.05,0x819f3450da6f110ba6ea52195b3beafa246062de,23.59%,(5x)
ETH,DAI/ETH,Uniswap,DAI,4760.0,0.0001,654.06,0.0013,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,40.23%,(5x)
ETH,DAI/ETH,Uniswap,ETH,1619.0,0.0003,47.74,0.0143,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,40.23%,(5x)
ETH,UNI/ETH,Uniswap,UNI,1725.0,0.0,112.08,0.0008,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.10%,(5x)
ETH,UNI/ETH,Uniswap,ETH,1893.0,0.0006,481.58,0.0032,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.10%,(5x)
ETH,YFI/ETH,Uniswap,YFI,44.96,0.0401,45.01,0.0501,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,27.15%,(5x)
ETH,YFI/ETH,Uniswap,ETH,305.86,0.0011,96.26,0.0045000000000000005,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,27.15%,(5x)
ETH,DPI/ETH,Uniswap,DPI,1353.0,0.0013,48.52,0.044800000000000006,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,-31.88%,(10x)
ETH,DPI/ETH,Uniswap,ETH,1329.0,0.0026,77.43,0.056299999999999996,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,-31.88%,(10x)
ETH,COMP/ETH,Uniswap,COMP,354.59,0.0134,44.59,0.136,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-27.19%,(5x)
ETH,COMP/ETH,Uniswap,ETH,14.37,0.0,0.0,0.0,0xcffdded873554f362ac02f8fb1f02e5ada10516f,-27.19%,(5x)
ETH,ETH/CRV,Uniswap,ETH,38.36,0.0012,12.18,0.0045000000000000005,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,72.67%,(5x)
ETH,ETH/CRV,Uniswap,CRV,2382.0,0.0,41.41,0.0002,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,72.67%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,243.3,0.0033,19.2,0.053399999999999996,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,-20.54%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,26.05,0.0392,25.95,0.0493,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,-20.54%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,4.96,0.0017000000000000001,2.06,0.0052,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,19.80%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,108.46,0.0,0.14,0.0,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,19.80%,(10x)
ETH,CEL/ETH,Uniswap,CEL,1039.0,0.0,0.22,0.0,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,-0.01%,(5x)
ETH,CEL/ETH,Uniswap,ETH,273.1,0.0,1.34,0.0001,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,-0.01%,(5x)
ETH,SNX/ETH,Uniswap,SNX,833.96,0.0,0.51,0.0,0x43ae24960e5534731fc831386c07755a2dc33d47,120.34%,(5x)
ETH,SNX/ETH,Uniswap,ETH,22.91,0.0,0.97,0.0006,0x43ae24960e5534731fc831386c07755a2dc33d47,120.34%,(5x)
MATIC,WETH/USDT,QuickSwap,WETH,189114.0,0.0504,129405.0,0.08560000000000001,0x2912a338df9877905e54c557e4d826f84365602e,5.14%,(5x)
MATIC,WETH/USDT,QuickSwap,USDT,161833.0,0.0616,119351.0,0.1084,0x2912a338df9877905e54c557e4d826f84365602e,5.14%,(5x)
MATIC,USDC/JPYCv1,QuickSwap,USDC,29465.0,0.0463,21096.0,0.07780000000000001,0x205995421c72dc223f36bbfad78b66eea72d2677,8.19%,(10x)
MATIC,USDC/JPYCv1,QuickSwap,JPYCv1,29310.0,0.0032,16526.0,0.006999999999999999,0x205995421c72dc223f36bbfad78b66eea72d2677,8.19%,(10x)
MATIC,WETH/DPI,QuickSwap,WETH,4267.0,0.0197,3459.0,0.0304,0xd83a3ddc19a651f79970291d71b41be5509e7c66,65.77%,(10x)
MATIC,WETH/DPI,QuickSwap,DPI,3651.0,0.005,2579.0,0.0088,0xd83a3ddc19a651f79970291d71b41be5509e7c66,65.77%,(10x)
MATIC,WBTC/pBTC,QuickSwap,WBTC,3504.0,0.0021,1537.0,0.0058,0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb,-1548.05%,(20x)
MATIC,WBTC/pBTC,QuickSwap,pBTC,5424.0,1.1313,2366.0,1.7413999999999998,0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb,-1548.05%,(20x)
MATIC,WETH/cxETH,QuickSwap,WETH,9369.0,0.0001,2950.0,0.0012,0x33df8a72f92fb77b43f787cac7a56697f2ee54ab,-11.16%,(20x)
MATIC,WETH/cxETH,QuickSwap,cxETH,1962.0,0.0072,808.19,0.023,0x33df8a72f92fb77b43f787cac7a56697f2ee54ab,-11.16%,(20x)
MATIC,LINK/WETH,QuickSwap,LINK,7767.0,0.0002,1075.0,0.0018,0x0c7feaa175f62779be13cdd4fe878e55ee70179e,26.13%,(10x)
MATIC,LINK/WETH,QuickSwap,WETH,2680.0,0.0181,1515.0,0.0401,0x0c7feaa175f62779be13cdd4fe878e55ee70179e,26.13%,(10x)
MATIC,DAI/MAI,QuickSwap,DAI,9133.0,0.0137,1284.0,0.0319,0x6d59c06a7f96a508310a76da84db397819e29c62,-83.46%,(20x)
MATIC,DAI/MAI,QuickSwap,MAI,9773.0,0.0384,1196.0,0.0751,0x6d59c06a7f96a508310a76da84db397819e29c62,-83.46%,(20x)
MATIC,USDC/WETH,QuickSwap,USDC,1342.0,0.050499999999999996,770.44,0.1103,0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328,-4.83%,(5x)
MATIC,USDC/WETH,QuickSwap,WETH,1725.0,0.0867,1299.0,0.1445,0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328,-4.83%,(5x)
MATIC,WETH/UNI,QuickSwap,WETH,1592.0,0.0026,780.18,0.006500000000000001,0xb361e254dae512a7bd37f72b926f625f4d39db56,30.10%,(10x)
MATIC,WETH/UNI,QuickSwap,UNI,7442.0,0.0002,1047.0,0.0019,0xb361e254dae512a7bd37f72b926f625f4d39db56,30.10%,(10x)
MATIC,MATIC/WCRO,QuickSwap,MATIC,1013.0,0.0334,891.25,0.0475,0xc753c8e920a6c35315da5d15e8cfcd5b014fd280,-4.80%,(5x)
MATIC,MATIC/WCRO,QuickSwap,WCRO,1451.0,0.0012,491.17,0.0045000000000000005,0xc753c8e920a6c35315da5d15e8cfcd5b014fd280,-4.80%,(5x)
