blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
ETH,IMX/ETH,Uniswap,IMX,371969.0,0.5546,297793.0,0.8476,222.92%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,IMX/ETH,Uniswap,ETH,500050.0,0.0501,345724.0,0.09480000000000001,222.92%,(5x),0xa00d47b4b304792eb07b09233467b690db847c91
ETH,USDC/USDT,Uniswap,USDC,407635.0,0.0861,173755.0,0.1606,-62.36%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,USDC/USDT,Uniswap,USDT,398610.0,0.2709,182979.0,0.4854,-62.36%,(20x),0x3041cbd36888becc7bbcbc0045e3b1f144466f5f
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,215742.0,0.0009,61689.0,0.0040999999999999995,32.04%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,ETH2x-FLI/ETH,Uniswap,ETH,55143.0,0.056900000000000006,41594.0,0.0944,32.04%,(5x),0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5
ETH,DPI/ETH,Uniswap,DPI,106890.0,0.0454,36571.0,0.1433,65.69%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,DPI/ETH,Uniswap,ETH,226978.0,0.0003,43807.0,0.0023,65.69%,(10x),0x4d5ef58aac27d99935e5b6b4a6778ff292059991
ETH,USDC/ETH,Uniswap,USDC,41168.0,0.23989999999999997,34913.0,0.35810000000000003,36.36%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,USDC/ETH,Uniswap,ETH,111195.0,0.0055000000000000005,43936.0,0.026099999999999998,36.36%,(5x),0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc
ETH,WBTC/ETH,Uniswap,WBTC,50797.0,0.0004,29615.0,0.0024,-6.42%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,WBTC/ETH,Uniswap,ETH,94701.0,0.027999999999999997,38173.0,0.0873,-6.42%,(10x),0xbb2b8038a1640196fbe3e38816f3e67cba72d940
ETH,DAI/ETH,Uniswap,DAI,20587.0,0.039900000000000005,20588.0,0.0499,62.20%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,DAI/ETH,Uniswap,ETH,124215.0,0.0003,22668.0,0.0023,62.20%,(5x),0xa478c2975ab1ea89e8196811f51a7b7ade33eb11
ETH,LINK/ETH,Uniswap,LINK,26228.0,0.0003,3977.0,0.0022,43.09%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,LINK/ETH,Uniswap,ETH,127220.0,0.0003,20703.0,0.0023,43.09%,(5x),0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
ETH,ETH/CRV,Uniswap,ETH,12149.0,0.1501,4751.0,0.18760000000000002,-72.33%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,ETH/CRV,Uniswap,CRV,13492.0,0.6483,5942.0,1.1575,-72.33%,(5x),0x3da1313ae46132a397d90d95b1424a9a7e3e0fce
ETH,CEL/ETH,Uniswap,CEL,13468.0,0.0643,1785.0,0.2898,61.31%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,CEL/ETH,Uniswap,ETH,11846.0,0.024399999999999998,6493.0,0.0346,61.31%,(5x),0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6
ETH,MATIC/ETH,Uniswap,MATIC,30164.0,0.0012,3748.0,0.0124,187.52%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,MATIC/ETH,Uniswap,ETH,52158.0,0.0001,3485.0,0.001,187.52%,(5x),0x819f3450da6f110ba6ea52195b3beafa246062de
ETH,UNI/ETH,Uniswap,UNI,13969.0,0.0002,1762.0,0.0016,38.03%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,UNI/ETH,Uniswap,ETH,31769.0,0.0013,4856.0,0.010700000000000001,38.03%,(5x),0xd3d2e2692501a5c9ca623199d38826e513033a17
ETH,YFI/ETH,Uniswap,YFI,12747.0,0.0003,2110.0,0.0024,95.22%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,YFI/ETH,Uniswap,ETH,4288.0,0.0037,4288.0,0.008199999999999999,95.22%,(5x),0x2fdbadf3c4d5a8666bc06645b8358ab803996e28
ETH,ETH/USDT,Uniswap,ETH,11588.0,0.0006,2932.0,0.0032,105.19%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ETH,ETH/USDT,Uniswap,USDT,2821.0,0.0527,2809.0,0.0663,105.19%,(5x),0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852
ETH,SNX/ETH,Uniswap,SNX,2203.0,0.0126,1897.0,0.0202,53.52%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,SNX/ETH,Uniswap,ETH,6292.0,0.0032,3320.0,0.0075,53.52%,(5x),0x43ae24960e5534731fc831386c07755a2dc33d47
ETH,COMP/ETH,Uniswap,COMP,3790.0,0.0102,1560.0,0.030899999999999997,31.51%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,COMP/ETH,Uniswap,ETH,55310.0,0.0,1876.0,0.0005,31.51%,(5x),0xcffdded873554f362ac02f8fb1f02e5ada10516f
ETH,AAVE/ETH,Uniswap,AAVE,13261.0,0.0,565.76,0.0006,27.30%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
ETH,AAVE/ETH,Uniswap,ETH,132190.0,0.0,1037.0,0.0001,27.30%,(5x),0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f
MATIC,MATIC/WETH,SushiSwap,MATIC,1527482.0,0.1003,1218967.0,0.1438,158.85%,(10x),0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5
MATIC,MATIC/WETH,SushiSwap,WETH,1291298.0,0.0678,956356.0,0.0901,158.85%,(10x),0xcb8f6c44c85f4a55f243df1d1f339a52a452aca5
MATIC,WETH/DPI,QuickSwap,WETH,517025.0,0.0711,339057.0,0.1153,-72.94%,(10x),0xd83a3ddc19a651f79970291d71b41be5509e7c66
MATIC,WETH/DPI,QuickSwap,DPI,448082.0,0.0664,289533.0,0.11779999999999999,-72.94%,(10x),0xd83a3ddc19a651f79970291d71b41be5509e7c66
MATIC,USDC/DAI,SushiSwap,USDC,417436.0,0.1057,264776.0,0.1895,-250.45%,(20x),0x542ccc962097b184ca12a46030d967a735342cf8
MATIC,USDC/DAI,SushiSwap,DAI,383108.0,0.15289999999999998,265151.0,0.2619,-250.45%,(20x),0x542ccc962097b184ca12a46030d967a735342cf8
MATIC,WBTC/WETH,SushiSwap,WBTC,319352.0,0.1076,222604.0,0.18109999999999998,-80.20%,(10x),0x7da257e84f233c9d05959f923c797585549bb3cb
MATIC,WBTC/WETH,SushiSwap,WETH,358367.0,0.0512,272369.0,0.0876,-80.20%,(10x),0x7da257e84f233c9d05959f923c797585549bb3cb
MATIC,WBTC/pBTC,QuickSwap,WBTC,449860.0,0.11560000000000001,307771.0,0.1942,-565.47%,(20x),0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb
MATIC,WBTC/pBTC,QuickSwap,pBTC,226939.0,0.22829999999999998,126335.0,0.4285,-565.47%,(20x),0xe1ad5d74f3fede7ec63fec63d4bafe9afbf09edb
MATIC,USDC/USDT,QuickSwap,USDC,311594.0,0.1524,206714.0,0.21899999999999997,-282.33%,(20x),0x3e115a3af5a58c73571586468b0f5d08bfe9dab1
MATIC,USDC/USDT,QuickSwap,USDT,296628.0,0.1972,206777.0,0.2785,-282.33%,(20x),0x3e115a3af5a58c73571586468b0f5d08bfe9dab1
MATIC,MAI/USDT,QuickSwap,MAI,290831.0,0.19579999999999997,200441.0,0.30329999999999996,-465.51%,(20x),0xc3a4c0677b033bf6e9a4e22f930f1d60c5cd2c86
MATIC,MAI/USDT,QuickSwap,USDT,260402.0,0.1773,198137.0,0.2702,-465.51%,(20x),0xc3a4c0677b033bf6e9a4e22f930f1d60c5cd2c86
MATIC,IMX/WETH,QuickSwap,IMX,314273.0,0.46909999999999996,176799.0,0.8279000000000001,-122.13%,(5x),0x8ce3bf56767dd87e87487f3fae63e557b821ea32
MATIC,IMX/WETH,QuickSwap,WETH,301971.0,0.0678,199068.0,0.09970000000000001,-122.13%,(5x),0x8ce3bf56767dd87e87487f3fae63e557b821ea32
MATIC,WBTC/WETH,QuickSwap,WBTC,221505.0,0.10640000000000001,144003.0,0.17600000000000002,-65.44%,(10x),0x8f7f8a534f6a7d57fbda855cf3588eb1edc4508b
MATIC,WBTC/WETH,QuickSwap,WETH,270846.0,0.0452,182348.0,0.08990000000000001,-65.44%,(10x),0x8f7f8a534f6a7d57fbda855cf3588eb1edc4508b
MATIC,USDC/JPYC,QuickSwap,USDC,215308.0,0.10310000000000001,155252.0,0.16870000000000002,-58.84%,(10x),0x205995421c72dc223f36bbfad78b66eea72d2677
MATIC,USDC/JPYC,QuickSwap,JPYC,210905.0,0.0737,155971.0,0.1223,-58.84%,(10x),0x205995421c72dc223f36bbfad78b66eea72d2677
MATIC,DAI/MAI,QuickSwap,DAI,218817.0,0.18109999999999998,147407.0,0.2703,-476.49%,(20x),0x6d59c06a7f96a508310a76da84db397819e29c62
MATIC,DAI/MAI,QuickSwap,MAI,195343.0,0.1977,143352.0,0.3025,-476.49%,(20x),0x6d59c06a7f96a508310a76da84db397819e29c62
MATIC,USDC/USDT,SushiSwap,USDC,190815.0,0.1386,132471.0,0.20679999999999998,-239.18%,(20x),0x9b2f10eae09fad574b3f76b977c06634a4ec3a46
MATIC,USDC/USDT,SushiSwap,USDT,179607.0,0.16260000000000002,132515.0,0.2334,-239.18%,(20x),0x9b2f10eae09fad574b3f76b977c06634a4ec3a46
MATIC,USDC/WETH,SushiSwap,USDC,136197.0,0.1308,92457.0,0.23559999999999998,59.01%,(5x),0xbb7ccc9c0f72fb91dee7053c652e961117db4368
MATIC,USDC/WETH,SushiSwap,WETH,226822.0,0.0653,142536.0,0.1166,59.01%,(5x),0xbb7ccc9c0f72fb91dee7053c652e961117db4368
MATIC,MATIC/WETH,QuickSwap,MATIC,125438.0,0.06480000000000001,90158.0,0.0981,197.31%,(10x),0x2383b93cfa6ddd9a7b35ddffd8d527e7ab80b920
MATIC,MATIC/WETH,QuickSwap,WETH,126673.0,0.0689,79846.0,0.1012,197.31%,(10x),0x2383b93cfa6ddd9a7b35ddffd8d527e7ab80b920
