blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
MATIC,WETH/MVI,SushiSwap,WETH,77838.0,0.08960000000000001,51211.0,0.1461,91.41%,(10x),0xa13c38e12b1d516634dcfeb80abe620aedfcf0d0
MATIC,WETH/MVI,SushiSwap,MVI,181045.0,0.031,62606.0,0.0521,91.41%,(10x),0xa13c38e12b1d516634dcfeb80abe620aedfcf0d0
MATIC,QI/WETH,QuickSwap,QI,65064.0,0.5969,50755.0,1.0238,131.06%,(5x),0xb48e8c226facb7ade62ab0ca8588789aaa1428aa
MATIC,QI/WETH,QuickSwap,WETH,77677.0,0.08,56320.0,0.1272,131.06%,(5x),0xb48e8c226facb7ade62ab0ca8588789aaa1428aa
MATIC,WBTC/ibBTC,SushiSwap,WBTC,158804.0,0.1112,89776.0,0.1724,-279.32%,(20x),0xba8d0e69773c2f5d385968e42050f23b24b35e36
MATIC,WBTC/ibBTC,SushiSwap,ibBTC,112388.0,0.0965,88909.0,0.1514,-279.32%,(20x),0xba8d0e69773c2f5d385968e42050f23b24b35e36
MATIC,WETH/UNI,QuickSwap,WETH,68282.0,0.1133,44225.0,0.1868,-78.44%,(10x),0xb361e254dae512a7bd37f72b926f625f4d39db56
MATIC,WETH/UNI,QuickSwap,UNI,62912.0,0.041299999999999996,36166.0,0.0895,-78.44%,(10x),0xb361e254dae512a7bd37f72b926f625f4d39db56
MATIC,LINK/WETH,QuickSwap,LINK,50712.0,0.050300000000000004,33943.0,0.0965,-43.80%,(10x),0x0c7feaa175f62779be13cdd4fe878e55ee70179e
MATIC,LINK/WETH,QuickSwap,WETH,71496.0,0.07919999999999999,44347.0,0.1472,-43.80%,(10x),0x0c7feaa175f62779be13cdd4fe878e55ee70179e
MATIC,USDC/WETH,QuickSwap,USDC,36263.0,0.1558,26440.0,0.275,10.35%,(5x),0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328
MATIC,USDC/WETH,QuickSwap,WETH,48127.0,0.085,32262.0,0.1547,10.35%,(5x),0xc380e7fa325e1708e9e6ef4d9bed2cd806fcb328
MATIC,CRV/WETH,SushiSwap,CRV,33902.0,0.18899999999999997,23272.0,0.3208,32.90%,(10x),0x9039b60eee1adbd2697a0ffb558f879c0b5d87bb
MATIC,CRV/WETH,SushiSwap,WETH,37918.0,0.1039,22826.0,0.1574,32.90%,(10x),0x9039b60eee1adbd2697a0ffb558f879c0b5d87bb
MATIC,AVAX/WETH,SushiSwap,AVAX,40376.0,0.42700000000000005,25920.0,0.7386,-167.63%,(10x),0xc2eb7fc0c27b20400e9923a1f4066d8d4a9cd203
MATIC,AVAX/WETH,SushiSwap,WETH,34221.0,0.0659,17375.0,0.1193,-167.63%,(10x),0xc2eb7fc0c27b20400e9923a1f4066d8d4a9cd203
MATIC,WETH/USDT,QuickSwap,WETH,28590.0,0.0949,20576.0,0.1421,18.92%,(5x),0x2912a338df9877905e54c557e4d826f84365602e
