blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,369823.0,0.7703,277782.0,1.1943000000000001,0xa00d47b4b304792eb07b09233467b690db847c91,70.36%,(5x)
ETH,IMX/ETH,Uniswap,ETH,361185.0,0.0524,268169.0,0.0788,0xa00d47b4b304792eb07b09233467b690db847c91,70.36%,(5x)
ETH,USDC/USDT,Uniswap,USDC,239741.0,0.029500000000000002,125518.0,0.0669,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,208.97%,(20x)
ETH,USDC/USDT,Uniswap,USDT,223865.0,0.1505,127492.0,0.2882,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,208.97%,(20x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,193342.0,0.0009,43193.0,0.0040999999999999995,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,176.39%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,45310.0,0.08199999999999999,28496.0,0.1319,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,176.39%,(5x)
ETH,DPI/ETH,Uniswap,DPI,80802.0,0.0012,27647.0,0.0043,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,66.13%,(10x)
ETH,DPI/ETH,Uniswap,ETH,203264.0,0.0004,39232.0,0.0024,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,66.13%,(10x)
ETH,USDC/ETH,Uniswap,USDC,51767.0,0.41119999999999995,35457.0,0.6061,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,-36.80%,(5x)
ETH,USDC/ETH,Uniswap,ETH,99585.0,0.0024,39352.0,0.0064,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,-36.80%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,47173.0,0.0034000000000000002,25362.0,0.0073,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,20.37%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,74418.0,0.0017000000000000001,31607.0,0.0051,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,20.37%,(10x)
ETH,DAI/ETH,Uniswap,DAI,20577.0,0.039900000000000005,20584.0,0.0499,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,44.91%,(5x)
ETH,DAI/ETH,Uniswap,ETH,111238.0,0.0003,20300.0,0.0023,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,44.91%,(5x)
ETH,LINK/ETH,Uniswap,LINK,25926.0,0.0002,3130.0,0.0017000000000000001,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,29.30%,(5x)
ETH,LINK/ETH,Uniswap,ETH,113928.0,0.0002,16408.0,0.0021,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,29.30%,(5x)
ETH,ETH/CRV,Uniswap,ETH,10928.0,0.1729,4315.0,0.5556,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,-50.98%,(5x)
ETH,ETH/CRV,Uniswap,CRV,16039.0,0.0809,7091.0,0.22949999999999998,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,-50.98%,(5x)
ETH,CEL/ETH,Uniswap,CEL,12341.0,0.0054,2868.0,0.0019,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,975.74%,(5x)
ETH,CEL/ETH,Uniswap,ETH,10624.0,0.051,7011.0,0.1033,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,975.74%,(5x)
ETH,UNI/ETH,Uniswap,UNI,12187.0,0.0002,1638.0,0.0017000000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,23.16%,(5x)
