blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,79059.0,0.014199999999999999,53343.0,0.0070999999999999995,0xa00d47b4b304792eb07b09233467b690db847c91,-18.09%,(5x)
ETH,IMX/ETH,Uniswap,ETH,136419.0,0.059000000000000004,115680.0,0.0833,0xa00d47b4b304792eb07b09233467b690db847c91,-18.09%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210167.0,0.0025,54579.0,0.0032,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-300.31%,(20x)
ETH,USDC/USDT,Uniswap,USDT,77360.0,0.2232,51485.0,0.34729999999999994,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-300.31%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64753.0,0.0562,35811.0,0.1319,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,20.08%,(5x)
ETH,USDC/ETH,Uniswap,ETH,54668.0,0.0022,25459.0,0.0058,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,20.08%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27324.0,0.005600000000000001,20449.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,11.04%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,48609.0,0.0019,21011.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,11.04%,(10x)
ETH,DPI/ETH,Uniswap,DPI,23806.0,0.004699999999999999,16272.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,28.60%,(10x)
ETH,DPI/ETH,Uniswap,ETH,131728.0,0.0004,26061.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,28.60%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15715.0,0.0375,11109.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-3.81%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,37423.0,0.0647,19434.0,0.0809,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-3.81%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0001,970.1,0.0015,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,26.21%,(5x)
ETH,LINK/ETH,Uniswap,ETH,66125.0,0.0002,9411.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,26.21%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9972.0,0.001,3219.0,0.004,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,40.41%,(5x)
ETH,DAI/ETH,Uniswap,ETH,73853.0,0.0,1529.0,0.0003,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,40.41%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3351.0,0.0008,959.63,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,12.84%,(5x)
