blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,371975.0,0.7433,279640.0,1.1719,0xa00d47b4b304792eb07b09233467b690db847c91,50.98%,(5x)
ETH,IMX/ETH,Uniswap,ETH,370861.0,0.06709999999999999,275462.0,0.0993,0xa00d47b4b304792eb07b09233467b690db847c91,50.98%,(5x)
ETH,USDC/USDT,Uniswap,USDC,239842.0,0.0348,125562.0,0.0579,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,214.18%,(20x)
ETH,USDC/USDT,Uniswap,USDT,204984.0,0.16670000000000001,128210.0,0.2921,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,214.18%,(20x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,193343.0,0.0006,43194.0,0.0032,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,118.13%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,60465.0,0.1422,29293.0,0.2943,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,118.13%,(5x)
ETH,USDC/ETH,Uniswap,USDC,51855.0,0.39740000000000003,32390.0,0.5931000000000001,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,-28.95%,(5x)
ETH,USDC/ETH,Uniswap,ETH,102194.0,0.0023,37492.0,0.0062,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,-28.95%,(5x)
ETH,DPI/ETH,Uniswap,DPI,81557.0,0.0012,27999.0,0.0043,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,102.01%,(10x)
ETH,DPI/ETH,Uniswap,ETH,208589.0,0.0004,40260.0,0.0024,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,102.01%,(10x)
ETH,WBTC/ETH,Uniswap,WBTC,46876.0,0.0034000000000000002,25203.0,0.0073,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,19.42%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,76368.0,0.0021,32436.0,0.005699999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,19.42%,(10x)
ETH,DAI/ETH,Uniswap,DAI,20615.0,0.039900000000000005,20623.0,0.0499,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,41.57%,(5x)
ETH,DAI/ETH,Uniswap,ETH,114151.0,0.0003,20832.0,0.0023,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,41.57%,(5x)
ETH,LINK/ETH,Uniswap,LINK,25926.0,0.0002,3130.0,0.0017000000000000001,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,29.55%,(5x)
